,L,0.2,0.4,0.7,1.0,1.2,1.4,1.7,2.0,2.2,2.4,2.7,3.0,3.2,3.4,3.7,4.0,4.2,4.4,4.7,5.0,5.2,5.4,5.7,6.0,6.2,6.4,6.7,7.0,26.6,46.2,56.49,60.092,63.693,69.095,71.931,74.768,79.022,81.255,83.489,86.839,89.352,91.864,94.377,98.146,101.57,105.0
12,187.5,1.6319e-002,3.266e-002,5.7219e-002,8.1838e-002,6.7069e-002,5.2299e-002,3.0143e-002,7.9858e-003,-5.0499e-003,-1.8086e-002,-3.7643e-002,-5.7204e-002,-7.0272e-002,-8.3341e-002,-0.10295,-0.12255,-0.14819,-0.17384,-0.21237,-0.25393,-0.27797,-0.30411,-0.34703,-0.39468,-0.42147,-0.44961,-0.49493,-0.54358,-0.73389,-0.98208,-1.1457,-1.2112,-1.2836,-1.4087,-1.4822,-1.5623,-1.6971,-1.7701,-1.839,-1.9323,-1.9777,-2.0149,-2.0522,-2.1115,-2.1776,-2.2458
13,203.13,1.7466e-002,3.4956e-002,6.1242e-002,8.7593e-002,7.1674e-002,5.5754e-002,3.1874e-002,7.9921e-003,-6.0583e-003,-2.0109e-002,-4.1189e-002,-6.2272e-002,-7.6357e-002,-9.0443e-002,-0.11158,-0.13271,-0.16034,-0.18798,-0.22951,-0.27433,-0.30026,-0.32846,-0.3748,-0.42625,-0.45519,-0.48558,-0.53454,-0.58711,-0.79283,-1.0612,-1.2382,-1.3091,-1.3873,-1.5227,-1.6024,-1.689,-1.8349,-1.9139,-1.9886,-2.0896,-2.1387,-2.179,-2.2194,-2.2836,-2.3552,-2.4291
14,218.75,1.8582e-002,3.719e-002,6.5156e-002,9.3192e-002,7.6139e-002,5.9084e-002,3.3501e-002,7.9172e-003,-7.1349e-003,-2.2188e-002,-4.477e-002,-6.7356e-002,-8.2445e-002,-9.7536e-002,-0.12017,-0.14282,-0.17241,-0.20203,-0.24652,-0.29455,-0.32236,-0.3526,-0.40231,-0.45753,-0.4886,-0.52123,-0.57381,-0.63028,-0.85131,-1.1398,-1.3301,-1.4063,-1.4905,-1.6362,-1.7219,-1.8151,-1.9722,-2.0573,-2.1376,-2.2464,-2.2993,-2.3427,-2.3862,-2.4552,-2.5324,-2.612
15,234.38,1.9664e-002,3.9356e-002,6.8951e-002,9.862e-002,8.045e-002,6.2278e-002,3.5019e-002,7.759e-003,-8.2792e-003,-2.4318e-002,-4.838e-002,-7.2445e-002,-8.8523e-002,-0.1046,-0.12872,-0.15285,-0.18439,-0.21594,-0.26335,-0.31455,-0.3442,-0.37646,-0.42952,-0.48847,-0.52165,-0.5565,-0.61267,-0.673,-0.90923,-1.2177,-1.4213,-1.5029,-1.593,-1.749,-1.8408,-1.9406,-2.1089,-2.2,-2.2861,-2.4026,-2.4592,-2.5057,-2.5523,-2.6262,-2.7089,-2.794
16,250.,2.0716e-002,4.1462e-002,7.2641e-002,0.1039,8.4628e-002,6.5356e-002,3.6445e-002,7.5337e-003,-9.4761e-003,-2.6487e-002,-5.2006e-002,-7.753e-002,-9.4581e-002,-0.11163,-0.13722,-0.1628,-0.19625,-0.22972,-0.28,-0.33433,-0.3658,-0.40006,-0.45642,-0.51908,-0.55434,-0.59139,-0.65112,-0.71529,-0.96659,-1.295,-1.5119,-1.5989,-1.6949,-1.8613,-1.9591,-2.0656,-2.245,-2.3422,-2.4339,-2.5581,-2.6185,-2.6681,-2.7177,-2.7965,-2.8846,-2.9754
17,265.63,2.1734e-002,4.3498e-002,7.6209e-002,0.109,8.8651e-002,6.8299e-002,3.7768e-002,7.2358e-003,-1.0727e-002,-2.8692e-002,-5.5641e-002,-8.2595e-002,-0.1006,-0.11861,-0.14563,-0.17265,-0.20797,-0.24332,-0.29642,-0.35381,-0.38708,-0.42332,-0.48294,-0.54925,-0.58658,-0.62581,-0.68906,-0.75701,-1.0233,-1.3715,-1.6019,-1.6941,-1.7961,-1.9727,-2.0766,-2.1897,-2.3803,-2.4835,-2.5809,-2.7128,-2.7769,-2.8295,-2.8821,-2.9658,-3.0593,-3.1556
18,281.25,2.2721e-002,4.5473e-002,7.967e-002,0.11396,9.2542e-002,7.1128e-002,3.9006e-002,6.8812e-003,-1.2019e-002,-3.092e-002,-5.9275e-002,-8.7634e-002,-0.10658,-0.12553,-0.15396,-0.18239,-0.21955,-0.25674,-0.31261,-0.37303,-0.40807,-0.44624,-0.50909,-0.57901,-0.61838,-0.65977,-0.72649,-0.7982,-1.0793,-1.4475,-1.6911,-1.7887,-1.8967,-2.0835,-2.1934,-2.3131,-2.5148,-2.6239,-2.727,-2.8665,-2.9343,-2.99,-3.0456,-3.134,-3.2329,-3.3348
19,296.88,2.3674e-002,4.7382e-002,8.3015e-002,0.11874,9.6288e-002,7.3835e-002,4.0153e-002,6.4696e-003,-1.3348e-002,-3.3166e-002,-6.2897e-002,-9.2633e-002,-0.1125,-0.13237,-0.16217,-0.19198,-0.23095,-0.26995,-0.32853,-0.39191,-0.42869,-0.46878,-0.5348,-0.60828,-0.64967,-0.69318,-0.76334,-0.83875,-1.1347,-1.5227,-1.7796,-1.8825,-1.9963,-2.1933,-2.3093,-2.4355,-2.6482,-2.7633,-2.872,-3.0191,-3.0906,-3.1492,-3.2078,-3.301,-3.4051,-3.5125
20,312.5,2.4596e-002,4.9227e-002,8.6248e-002,0.12337,9.9896e-002,7.6426e-002,4.1219e-002,6.0097e-003,-1.4705e-002,-3.5421e-002,-6.6499e-002,-9.7582e-002,-0.11835,-0.13912,-0.17027,-0.20143,-0.24217,-0.28293,-0.34416,-0.41046,-0.44894,-0.49091,-0.56005,-0.63704,-0.68042,-0.72602,-0.79957,-0.87867,-1.1894,-1.5972,-1.8672,-1.9753,-2.095,-2.3021,-2.424,-2.5567,-2.7804,-2.9014,-3.0158,-3.1704,-3.2455,-3.307,-3.3686,-3.4664,-3.5759,-3.6887
21,328.13,2.5486e-002,5.1009e-002,8.937e-002,0.12783,0.10337,7.8905e-002,4.2207e-002,5.5073e-003,-1.6084e-002,-3.7677e-002,-7.0071e-002,-0.10247,-0.12412,-0.14576,-0.17824,-0.21072,-0.25318,-0.29567,-0.3595,-0.42863,-0.46879,-0.5126,-0.58482,-0.66526,-0.71059,-0.75825,-0.83518,-0.91793,-1.2434,-1.6708,-1.9537,-2.0671,-2.1925,-2.4097,-2.5375,-2.6767,-2.9113,-3.0382,-3.1581,-3.3203,-3.3989,-3.4634,-3.5278,-3.6302,-3.7449,-3.863
